# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:21:26+08:00
Warning: Permanently added '100.121.87.73' (ED25519) to the list of known hosts.
printf：用法： printf [-v var] 格式 [参数]
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 127392 676768 1363572    0    0     0   536 2406 2549 76 12 12  0  0
 4  0      0 120352 676768 1364328    0    0     0   488 2537 3402 82 16  2  0  0
 4  0      0 119596 676768 1364356    0    0     0   364 2270 2625 72 14 14  0  0
 3  0      0 119612 676768 1364920    0    0     0   708 2798 3402 78 14  8  0  0
 3  0      0 119344 676772 1365440    0    0     0   696 2154 2193 77 13 10  0  0
 7  0      0 124904 676772 1365904    0    0     0   480 2234 2641 78 13  9  0  0
 3  0      0 124400 676772 1366420    0    0     0   588 2253 2437 77 13 10  0  0
 6  0      0 123880 676772 1366904    0    0     0   528 2187 2351 78 13  9  0  0
 4  0      0 123644 676772 1367364    0    0     0   488 2532 2994 78 12 10  0  0
 4  0      0 124132 676772 1367812    0    0     0   700 2337 2400 76 12 12  0  0
 5  0      0 123628 676772 1368196    0    0     0   580 2135 2210 77 12 10  0  0
 4  0      0 123140 676772 1368644    0    0     0   436 2245 2456 76 13 11  0  0
 3  0      0 122888 676772 1369076    0    0     0   508 2190 2326 77 13 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 122620 676772 1369496    0    0     0   504 2778 3070 77 13 10  0  0
 4  0      0 122132 676772 1369944    0    0     0   704 2120 2050 75 13 11  0  0
 5  0      0 121612 676772 1370436    0    0     0   844 2584 2746 75 15 10  0  0
 3  0      0 121108 676772 1370880    0    0     0   504 2131 2235 78 12 10  0  0
 4  0      0 121360 676772 1371392    0    0     0   500 2114 2472 78 12 10  0  0
 4  0      0 120604 676772 1371832    0    0     0   428 2137 2190 72 13 14  0  0
 4  0      0 120116 676772 1372136    0    0     0   588 2730 3014 73 12 14  1  0
 5  0      0 119848 676772 1372728    0    0     0   716 2239 2660 82 12  6  0  0
 4  0      0 119108 676772 1373260    0    0     0   556 2084 2238 78 12 10  0  0
 6  0      0 118572 676772 1373732    0    0     0   520 2354 2451 77 11 13  0  0
 4  0      0 118100 676772 1374192    0    0     0   448 2539 3162 76 12 12  0  0
 4  0      0 117828 676780 1374616    0    0     0   716 2528 2978 76 12 12  0  0
 4  0      0 117344 676780 1375192    0    0     0   572 2291 2559 78 13  9  0  0
 7  0      0 116556 676780 1375744    0    0     0   584 2124 2576 79 14  7  0  0
 4  0      0 115832 676780 1376140    0    0     0   412 2243 2347 75 13 12  0  0
 4  0      0 115328 676780 1376708    0    0     0   600 2260 2693 80 12  8  0  0
 4  0      0 124032 676148 1375368    0    0     8   748 2387 2829 73 14 13  0  0
 4  0      0 123276 676148 1375816    0    0    20   476 2084 2067 74 13 14  0  0
 4  0      0 122756 676148 1376288    0    0    24   336 2263 2438 74 13 13  0  0
 4  0      0 122252 676148 1376620    0    0     8   500 2089 2223 78 12 10  0  0
 8  0      0 121292 676148 1377184    0    0     4   588 2287 2344 76 13 11  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 120032 676148 1377664    0    0     0   644 2642 3079 74 14 12  1  0
 4  0      0 118284 676148 1378208    0    0     0   744 2280 2680 79 13  8  0  0
 6  0      0 117780 676148 1378704    0    0     0   512 2191 2373 78 11 11  0  0
 8  0      0 117260 676148 1379180    0    0     0   504 2170 2294 77 12 11  0  0
 7  0      0 116788 676148 1379480    0    0     0   508 2053 2358 77 13 10  0  0
 4  0      0 120780 675628 1378496    0    0     4   792 2586 3021 76 14 10  0  0
 3  0      0 120260 675628 1379056    0    0    36   560 2204 2389 74 13 13  0  0
 4  0      0 119440 675628 1380208    0    0     4   432 2406 2957 77 12 11  0  0
 3  0      0 117756 675628 1379912    0    0     0   484 2112 2152 72 14 14  0  0
 3  0      0 116748 675628 1380348    0    0     0   440 2204 2238 73 14 13  0  0
 1  0      0 241276 675628 1381244    0    0   812     0 1850 2307 28  2 69  1  0
 0  0      0 291764 675628 1381236    0    0     0   200 2607 4271  9  4 87  1  0
 1  0      0 290000 675632 1381404    0    0   164     0 2343 3796  9  4 87  0  0
 0  0      0 290496 675632 1381564    0    0   168     0 2656 4140  7  3 90  0  0
 2  0      0 290000 675632 1381572    0    0    12     0 1463 2355  4  1 95  0  0
 2  0      0 290348 675632 1381576    0    0     0     0 4494 7466 16  7 77  0  0
 0  2      0 290536 675632 1381576    0    0     0    52 1442 2185  2  1 97  0  0
 0  0      0 289528 675632 1381636    0    0    52   420 3234 4763 10  5 85  0  0
 0  0      0 291104 675632 1381632    0    0     0     0 2096 3521  6  3 91  0  0
 0  0      0 291096 675632 1381632    0    0     0     0  991 1510  2  1 98  0  0
 0  0      0 291104 675632 1381632    0    0     0     0  917 1380  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 291356 675632 1381632    0    0     0     0  810 1280  0  0 99  0  0
 0  0      0 290852 675636 1381632    0    0     0    48 1001 1551  2  1 98  0  0
 0  0      0 291104 675636 1381632    0    0     0     0  800 1191  0  0 100  0  0
 0  0      0 290852 675636 1381632    0    0     0     0  683 1103  0  0 100  0  0
 0  0      0 290852 675636 1381632    0    0     0     0 1168 1716  1  1 98  0  0
 0  0      0 291104 675636 1381632    0    0     0     0  589  905  0  0 100  0  0
 1  0      0 283480 675636 1381632    0    0     0    84 1449 2098 15  2 82  0  0
 0  0      0 283984 675636 1381632    0    0     0     0  866 1308  1  1 98  0  0
 0  0      0 283984 675636 1381632    0    0     0     0  735 1119  0  0 100  0  0
 0  0      0 284236 675636 1381632    0    0     0     0  913 1390  0  0 100  0  0
 0  0      0 290852 675636 1381632    0    0     0     0  983 1484  2  1 98  0  0
 0  0      0 290852 675636 1381632    0    0     0    24  745 1163  0  0 100  0  0
 0  0      0 291104 675636 1381632    0    0     0     0  750 1157  0  0 100  0  0
 0  0      0 290852 675636 1381632    0    0     0     0  768 1235  1  1 99  0  0
 0  0      0 291844 675636 1381632    0    0     0     0  860 1298  1  0 99  0  0
 0  0      0 291608 675636 1381632    0    0     0     0  963 1439  0  1 99  0  0
