# host=Phytium-Pi
# captured_at=2026-03-30T15:19:36+08:00
top - 15:19:36 up 11 days, 21:19,  1 user,  load average: 0.80, 0.50, 0.19
任务: 229 total,   1 running, 228 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.4 us,  2.8 sy,  0.0 ni, 95.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3461.3 total,    255.4 free,   1811.8 used,   1394.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1352.5 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
   2488 user      20   0    5304   1344    908 S   0.0   0.0   0:02.65 ssh-agent
   2504 user      20   0  374308  33908  13916 S   0.0   1.0   0:07.00 fcitx
   2514 user      20   0    7956   3404   2876 S   0.0   0.1   0:00.09 dbus-daemon
   2518 user      39  19    4916   1744   1532 S   0.0   0.0   0:00.00 fcitx-dbus-watc
   2519 user      20   0  305808   5268   4616 S   0.0   0.1   0:00.02 at-spi-bus-laun
   2524 user      20   0    7940   3708   3048 S   0.0   0.1   0:00.19 dbus-daemon
   2528 user      20   0  230420   5444   4440 S   0.0   0.2   0:01.29 xfconfd
   2534 user      20   0  161428   6428   5648 S   0.0   0.2   0:00.21 at-spi2-registr
   2539 user      20   0  230540  14804   9716 S   0.0   0.4   0:12.58 xfce4-screensav
   2540 user      20   0  269884  15572   8684 S   0.0   0.4   0:00.34 xfce4-notifyd
   2547 user      20   0  245116   6812   5824 S   0.0   0.2   0:00.08 gvfsd
   2558 user      20   0   88012   2176   1968 S   0.0   0.1   0:00.00 gpg-agent
   2560 user      20   0 1090792  51696  20752 S   0.0   1.5   5:54.72 xfwm4
   2585 user      20   0  234564  13956   8620 S   0.0   0.4   0:00.48 xfsettingsd
   2614 root      20   0  257980  11332   7740 S   0.0   0.3   0:00.64 upowerd
   2799 user      20   0  376964  39788  16208 S   0.0   1.1   0:43.37 xfce4-panel
   2820 user      20   0  480868  31800  16696 S   0.0   0.9   0:14.33 Thunar
   2828 user      20   0  646392  44896  20500 S   0.0   1.3   0:25.08 xfdesktop
   2830 user      20   0  250308   9684   6096 S   0.0   0.3   4:53.08 sogoupinyin-wat
   2831 user      20   0  319532   9200   7220 S   0.0   0.3   0:00.57 gvfs-udisks2-vo
   2838 user      20   0  322240   8172   7056 S   0.0   0.2   0:21.27 gvfs-afc-volume
   2844 user      20   0 3893132 656664 143096 S   0.0  18.5  72:48.51 firefox
   2845 user      20   0  241092   7860   5088 S   0.0   0.2   0:00.03 gvfs-goa-volume
   2851 user      20   0  193612   9872   7568 S   0.0   0.3   0:01.26 xfce4-power-man
   2854 user      20   0  557168  18612  10344 S   0.0   0.5   0:00.24 goa-daemon
   2865 user      20   0  196496  15660  10720 S   0.0   0.4   0:04.36 panel-6-systray
   2867 user      20   0  552008  20780  12328 S   0.0   0.6  23:52.91 panel-8-pulseau
   2868 user      20   0  285436  19716  11764 S   0.0   0.6   0:00.99 panel-10-notifi
   2869 user      20   0  240884  16728  10772 S   0.0   0.5   0:00.93 panel-14-action
   2892 user      20   0  320376   6856   5808 S   0.0   0.2   0:01.82 goa-identity-se
   2895 user      20   0  242928   6236   5284 S   0.0   0.2   0:00.04 gvfs-gphoto2-vo
   2899 user      20   0 1121.8g  76972  37200 S   0.0   2.2  47:55.35 cfw
   2903 user      20   0  241348   4584   4116 S   0.0   0.1   0:00.01 agent
   2913 user      20   0  240948   6132   5392 S   0.0   0.2   0:00.04 gvfs-mtp-volume
   2918 user      20   0  644908  24152  13160 S   0.0   0.7   0:01.71 evolution-alarm
   2925 user      20   0  801448  65268  10336 S   0.0   1.8   2:32.18 sogoupinyin-ser
   2933 user      20   0  322784  13444   6664 S   0.0   0.4   0:02.39 gvfsd-trash
   2944 user      20   0  482700  30972  16052 S   0.0   0.9  20:20.26 nm-applet
   2961 user      20   0  382476   6936   5596 S   0.0   0.2   0:00.20 xiccd
   2968 user      20   0  167480   5824   5236 S   0.0   0.2   0:00.00 gvfsd-metadata
   2981 colord    20   0  251580  12964   7704 S   0.0   0.4   0:00.41 colord
   2982 user      20   0  192144  10496   8480 S   0.0   0.3   0:00.13 polkit-gnome-au
   3021 user      20   0 1012056  15904   9732 S   0.0   0.4   0:00.29 evolution-sourc
   3024 user      20   0  439504  29964  12224 S   0.0   0.8   0:01.80 blueman-applet
   3066 user      20   0  846088  16420  10240 S   0.0   0.5   0:00.44 evolution-calen
   3075 user      20   0   32.2g  20284  11784 S   0.0   0.6   0:00.07 cfw
   3077 user      20   0   32.2g  19908  11300 S   0.0   0.6   0:00.11 cfw
   3087 user      20   0   32.2g   9408    760 S   0.0   0.3   0:00.00 cfw
   3098 user      20   0  156376   4596   4140 S   0.0   0.1   0:00.01 dconf-service
   3109 user      20   0  681076  17660  11700 S   0.0   0.5   0:00.18 evolution-addre
   3148 user      20   0  412476  38964  13940 S   0.0   1.1   0:01.31 blueman-tray
   3166 user      20   0   43104   4496   3844 S   0.0   0.1   0:00.00 obexd
   3203 user      20   0  934556  10932   7464 S   0.0   0.3   0:00.18 xdg-desktop-por
   3209 user      20   0  462896   5948   5244 S   0.0   0.2   0:00.05 xdg-document-po
   3210 user      20   0   32.4g  59800  46864 S   0.0   1.7  28:01.24 cfw
   3216 user      20   0  240760   5340   4824 S   0.0   0.2   0:00.01 xdg-permission-
