# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-30T15:17:30+08:00
# started_remote=2026-03-30T15:17:30+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 263116 523660 903796    0    0     0    40 1025 1559  0  1 99  0  0
# stopped_local=2026-03-30T15:19:03+08:00
 0  0      0 263116 523660 903796    0    0     0     0 1131 1602  0  0 99  0  0
 0  0      0 262864 523660 903796    0    0     0  2292  751 1128  0  0 99  0  0
 0  0      0 262612 523660 903796    0    0     0     0  674 1008  0  1 99  0  0
 0  0      0 262612 523660 903796    0    0     0     0  788 1238  0  0 100  0  0
 0  0      0 262360 523660 903796    0    0     0    36  789 1310  1  0 99  0  0
 0  0      0 262360 523660 903796    0    0     0     0 1174 1903  0  0 99  0  0
 0  0      0 262360 523660 903796    0    0     0  2296  821 1241  0  1 98  1  0
 0  0      0 262360 523660 903792    0    0     0     0  830 1427  0  0 99  0  0
 0  0      0 262360 523660 903796    0    0     0     0  910 1420  0  0 100  0  0
 0  0      0 262608 523660 903796    0    0     0     0  677 1197  1  0 99  0  0
 0  0      0 262612 523664 903800    0    0     0    48  851 1442  0  0 99  0  0
 0  0      0 262860 523664 903800    0    0     0  2164  654 1133  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 262864 523664 903800    0    0     0     0  697 1146  0  0 100  0  0
 0  0      0 262360 523664 903800    0    0     0     0  868 1432  0  0 100  0  0
 0  0      0 262612 523664 903800    0    0     0     0  548  903  0  0 99  0  0
 0  0      0 261604 523664 903800    0    0     0     0  484  834  1  0 98  0  0
 0  0      0 262108 523664 903800    0    0     0  2188  750 1237  0  1 99  1  0
 0  0      0 261856 523664 903800    0    0     0     0  493  876  0  0 100  0  0
 0  0      0 262604 523664 903800    0    0     0     0  544  955  1  1 98  0  0
 0  0      0 262612 523664 903800    0    0     0     0  733 1211  0  0 100  0  0
 0  0      0 254516 523664 903800    0    0     0     0 1227 1961 12  2 86  0  0
 0  0      0 254512 523664 903800    0    0     0    68  473  842  0  0 100  0  0
 0  0      0 254012 523664 903800    0    0     0     0  660  998  4  2 93  0  0
 0  0      0 254012 523664 903800    0    0     0     0  690 1191  1  0 99  0  0
 0  0      0 260596 523664 903800    0    0     0     0  695 1136  0  0 100  0  0
 0  0      0 260344 523664 903800    0    0     0     0  789 1287  0  0 100  0  0
 0  0      0 260596 523664 903800    0    0     0     0 4063 6251  1  1 98  0  0
 0  0      0 260596 523664 903796    0    0     0     0 1079 1861  1  0 99  0  0
 0  0      0 261352 523664 903796    0    0     0     0 1363 2206  0  0 100  0  0
 0  0      0 261352 523664 903796    0    0     0     0  617 1079  0  0 100  0  0
 0  0      0 261604 523668 903796    0    0     0    36 1216 1918  0  1 99  0  0
 0  0      0 261412 523668 903796    0    0     0     0 2113 3223  1  1 98  0  0
 0  0      0 261668 523668 903796    0    0     0     0 1597 2472  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 262052 523668 903908    0    0     0     0 1473 2165  1  1 98  0  0
 0  0      0 262060 523668 903908    0    0     0     0  949 1444  0  1 99  0  0
 0  0      0 262312 523672 903904    0    0     0    20  767 1190  1  0 99  0  0
 0  0      0 262060 523672 903904    0    0     0     0  678 1093  0  0 99  0  0
 0  0      0 262312 523672 903904    0    0     0   240 1287 1934  0  1 99  0  0
 0  0      0 262060 523672 903908    0    0     0     0  840 1329  1  1 99  0  0
 0  0      0 262312 523672 903908    0    0     0     0  755 1202  0  0 100  0  0
 0  0      0 262060 523672 903908    0    0     0   132  762 1163  1  0 99  0  0
 0  0      0 262312 523672 903908    0    0     0     0  729 1159  0  0 99  0  0
 0  0      0 262312 523676 903904    0    0     0    52 1055 1523  0  0 100  0  0
 0  0      0 262312 523676 903908    0    0     0     0  575  999  0  0 100  0  0
 0  0      0 262312 523676 903908    0    0     0     0  506  811  0  0 100  0  0
 0  0      0 262056 523676 903908    0    0     0     0  624 1050  0  1 99  0  0
 0  0      0 262052 523676 903908    0    0     0     0  678 1159  0  0 100  0  0
 0  0      0 262048 523676 903908    0    0     0     0  844 1391  0  0 100  0  0
 0  0      0 262052 523676 903908    0    0     0     0  829 1432  1  0 99  0  0
 0  0      0 262304 523676 903908    0    0     0     0  642 1131  0  0 100  0  0
 0  0      0 262052 523676 903908    0    0     0     0  722 1186  0  0 100  0  0
 0  0      0 262304 523676 903908    0    0     0  3432  832 1319  0  1 98  0  0
 0  0      0 262052 523676 903908    0    0     0   128  938 1488  0  0 99  0  0
 1  0      0 262304 523676 903908    0    0     0     0 1334 2127  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 262052 523676 903908    0    0     0     0  890 1475  1  0 99  0  0
 0  0      0 262044 523676 903908    0    0     0     0  654 1114  0  1 100  0  0
 0  0      0 262044 523676 903908    0    0     0     0  791 1289  0  0 100  0  0
 0  0      0 261792 523676 903908    0    0     0     0  740 1271  1  0 99  0  0
 0  0      0 262044 523676 903908    0    0     0     0  855 1316  0  1 100  0  0
 0  0      0 261792 523680 903908    0    0     0    32  903 1360  0  1 99  0  0
 0  0      0 262044 523680 903908    0    0     0     0  731 1119  0  0 100  0  0
 0  0      0 262044 523680 903908    0    0     0     0  800 1222  0  1 99  0  0
 0  0      0 261792 523680 903908    0    0     0     0  664 1012  0  0 100  0  0
 0  0      0 262036 523680 903908    0    0     0     0 1276 1992  0  1 99  0  0
 0  0      0 261784 523680 903908    0    0     0     0 1019 1615  0  0 100  0  0
 0  0      0 262036 523680 903908    0    0     0     0  732 1255  0  0 100  0  0
 0  0      0 261784 523680 903908    0    0     0     0  642 1040  0  0 100  0  0
 0  0      0 262036 523680 903908    0    0     0     0  758 1266  1  0 99  0  0
 0  0      0 261784 523684 903904    0    0     0    32  799 1341  0  0 99  0  0
 0  0      0 262288 523684 903908    0    0     0     0  969 1563  0  0 100  0  0
 0  0      0 262036 523684 903908    0    0     0     0  863 1436  0  0 99  0  0
 0  0      0 262288 523684 903908    0    0     0     0  665 1118  0  0 99  0  0
 0  0      0 262036 523684 903908    0    0     0     0  688 1155  0  0 100  0  0
 0  0      0 262284 523684 903908    0    0     0   140  935 1445  0  1 99  0  0
 0  0      0 262036 523688 903904    0    0     0    28  985 1568  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 262288 523688 903908    0    0     0     0  688 1181  0  0 100  0  0
 0  0      0 262036 523688 903908    0    0     0     0  694 1144  0  0 100  0  0
 0  0      0 262288 523688 903908    0    0     0     0 1263 2051  1  1 99  0  0
 0  0      0 262288 523688 903908    0    0     0    44  808 1337  1  1 98  0  0
 8  0      0 261528 523688 905892    0    0     0     0 1067 1750  0  1 99  0  0
 0  0      0 255452 523688 903908    0    0     0     0 1017 1634  4  1 95  0  0
 0  0      0 255704 523688 903908    0    0     0     0  656 1141  0  0 100  0  0
 0  0      0 255452 523688 903908    0    0     0     0  828 1292  4  2 94  0  0
 0  0      0 255704 523688 903908    0    0     0    72  788 1313  0  0 99  0  0
 0  0      0 261028 523688 903908    0    0     0   180 1133 1821  1  1 99  0  0
 0  0      0 262036 523688 903908    0    0     0     0  715 1240  1  0 99  0  0
 0  0      0 261784 523688 903908    0    0     0     0  848 1410  0  0 99  0  0
 0  0      0 262036 523688 903908    0    0     0     0  496  810  0  0 100  0  0
 0  0      0 263044 523688 903908    0    0     0     0  611 1036  0  0 100  0  0
 0  0      0 263040 523688 903908    0    0     0    48 1124 1871  1  0 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0  750 1246  0  0 100  0  0
 0  0      0 262792 523688 903908    0    0     0     0  605 1041  0  0 99  0  0
 0  0      0 262792 523688 903908    0    0     0    32  880 1436  0  1 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0  723 1197  0  0 100  0  0
 0  0      0 262792 523688 903908    0    0     0    52  984 1562  0  0 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0  658 1135  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 263044 523688 903908    0    0     0     0  882 1436  1  0 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0  711 1246  0  0 100  0  0
 0  0      0 263044 523688 903908    0    0     0     0  686 1125  0  0 99  0  0
 0  0      0 263044 523688 903908    0    0     0     4 1069 1702  0  1 99  0  0
 0  0      0 263044 523688 903908    0    0     0   204  822 1364  0  1 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0 1230 2019  1  0 99  0  0
 0  0      0 263296 523688 903908    0    0     0     0  796 1304  0  0 100  0  0
 0  0      0 263044 523688 903908    0    0     0     0  716 1252  0  0 100  0  0
 0  0      0 263044 523688 903908    0    0     0     0 1314 2049  0  1 99  0  0
 0  0      0 263044 523688 903908    0    0     0    84  930 1541  1  1 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0  714 1199  0  0 100  0  0
 0  0      0 263296 523688 903908    0    0     0     0  621 1081  0  0 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0  845 1377  0  0 100  0  0
 0  0      0 263296 523688 903908    0    0     0     0  766 1316  1  0 100  0  0
 0  0      0 263292 523688 903908    0    0     0    28 1218 2003  0  1 99  0  0
 0  0      0 263296 523688 903908    0    0     0     0  900 1487  0  1 99  0  0
 0  0      0 262792 523688 903908    0    0     0    20 1006 1626  0  1 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0  564  970  1  0 100  0  0
 0  0      0 263296 523688 903908    0    0     0     0  729 1249  1  1 99  0  0
 0  0      0 263296 523688 903908    0    0     0     0 1053 1657  1  0 99  0  0
 0  0      0 263296 523688 903908    0    0     0     0  685 1198  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 263296 523688 903908    0    0     0     0  641 1072  0  0 99  0  0
 0  0      0 263296 523688 903908    0    0     0    20  858 1358  0  0 99  0  0
 0  0      0 263296 523688 903908    0    0     0    32  698 1071  0  0 100  0  0
 0  0      0 263044 523688 903908    0    0     0     0  927 1436  0  0 100  0  0
 0  0      0 263040 523688 903908    0    0     0     0  898 1299  0  0 99  0  0
 0  0      0 262788 523688 903908    0    0     0     0  756 1209  0  1 99  0  0
 0  0      0 262792 523688 903908    0    0     0     0  827 1344  0  0 100  0  0
 0  0      0 262792 523688 903908    0    0     0    24  923 1539  0  1 99  0  0
 0  0      0 262792 523688 903908    0    0     0     0  676 1117  0  0 100  0  0
 0  0      0 262792 523688 903908    0    0     0     0 1272 2009  0  1 99  0  0
 0  0      0 262792 523688 903908    0    0     0     0  794 1330  0  0 99  0  0
 0  0      0 262792 523688 903908    0    0     0     0  530  924  0  0 99  0  0
 0  0      0 263044 523688 903908    0    0     0     0  625 1037  1  0 99  0  0
 0  0      0 262792 523688 903908    0    0     0     0  531  895  0  1 99  0  0
 0  0      0 263044 523688 903908    0    0     0    28  819 1252  0  0 100  0  0
 0  0      0 262792 523688 903908    0    0     0     0  454  801  0  0 100  0  0
 0  0      0 263044 523688 903908    0    0     0     0  531  901  0  0 100  0  0
 0  0      0 262540 523688 903908    0    0     0     0  564  966  0  0 100  0  0
 0  0      0 262540 523688 903908    0    0     0     0  490  815  0  0 100  0  0
 0  0      0 262036 523688 903908    0    0     0     0  779 1274  1  0 99  0  0
 0  0      0 262036 523688 903908    0    0     0    16  717 1155  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
