# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:21:42+08:00
# started_remote=2026-03-12T15:21:42+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13001008    888 653748    0    0     0   364 1163 2324  0  0 99  0  0  0
 0  0      0 13001008    888 653756    0    0     8     0  296  439  0  0 99  0  0  0
 0  0      0 13000280    896 653772    0    0     0    60 1228 2350  0  1 99  0  0  0
 0  0      0 13000308    896 653840    0    0    68     0 1072 1397  0  0 99  0  0  0
 0  0      0 13000572    896 653840    0    0     0     0 1428 2394  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13000572    896 653868    0    0    24     0  452  592  0  0 100  0  0  0
 0  0      0 13001076    896 653864    0    0     0     0 1390 2327  0  1 99  0  0  0
 0  0      0 13001076    904 653864    0    0     0    44  253  405  0  0 99  1  0  0
 0  0      0 13001580    904 653872    0    0     0     0 1425 2406  0  0 99  0  0  0
 0  0      0 13001580    904 653872    0    0     0     0  270  411  0  0 100  0  0  0
 0  0      0 13001076    904 653872    0    0     0     0 1388 2354  0  0 99  0  0  0
 0  0      0 13001328    904 653872    0    0     0     0  201  292  0  0 100  0  0  0
 0  0      0 13000572    912 653884    0    0     0    36 1853 2901  0  1 98  1  0  0
 0  0      0 13000824    912 653888    0    0     0     0  288  422  0  0 100  0  0  0
 0  0      0 12999816    912 653884    0    0     0     0 1420 2344  0  1 99  0  0  0
 0  0      0 13000068    912 653892    0    0     0    40  203  329  0  0 100  0  0  0
 0  0      0 13000068    912 653900    0    0     0     0 1343 2326  0  1 99  0  0  0
 0  0      0 12999816    920 653904    0    0     0    56  228  358  0  0 99  1  0  0
 0  0      0 12999312    924 653920    0    0     4    76 1373 2339  0  1 99  1  0  0
 0  0      0 12999312    924 653920    0    0     0     0  252  360  0  0 100  0  0  0
 0  0      0 12999060    924 653920    0    0     0    48 1435 2346  0  1 99  0  0  0
 0  0      0 13001844    924 653920    0    0     0     0  232  335  0  0 100  0  0  0
 0  0      0 13001844    932 653920    0    0     0    60 1291 2249  0  0 99  1  0  0
 0  0      0 13001592    932 653904    0    0     0     0  229  328  0  0 100  0  0  0
 1  0      0 13001088    932 653904    0    0     0     0  303  469  0  0 100  0  0  0
 0  0      0 13001088    932 653916    0    0     0     0 1327 2214  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13001088    932 653916    0    0     0     0  180  264  0  0 100  0  0  0
 0  0      0 13000080    940 653916    0    0     0    36 1381 2344  0  1 98  2  0  0
 0  0      0 13000080    940 653916    0    0     0     0  199  291  0  0 100  0  0  0
 0  0      0 13000080    940 653924    0    0     0     0 1420 2376  0  1 99  0  0  0
 0  0      0 13000080    940 653924    0    0     0     8  187  309  0  0 100  0  0  0
 0  0      0 12999576    940 653892    0    0     0     0 1360 2290  0  1 99  0  0  0
 0  0      0 12999576    948 653896    0    0     0    40  220  305  0  0 98  2  0  0
 0  0      0 12999588    948 653912    0    0     0     0 1364 2288  0  1 99  0  0  0
 0  0      0 12999588    948 653912    0    0     0     0  342  495  0  0 100  0  0  0
 0  0      0 12999084    952 653936    0    0    12   116 1669 2639  0  1 98  1  0  0
 0  0      0 12999084    952 653936    0    0     0     0  334  519  0  0 100  0  0  0
 0  0      0 12997572   1340 657048    0    0  3484    76 2553 3973  1  1 97  1  0  0
 0  0      0 12996848   1340 657148    0    0     0     0  450  359  0  0 100  0  0  0
 0  0      0 12995460   1340 657168    0    0     0     0 1359 2344  0  1 99  0  0  0
 0  0      0 12995588   1340 657192    0    0    24     0  314  480  0  0 100  0  0  0
 0  0      0 12995336   1340 657192    0    0     0     0 1299 2248  0  1 99  0  0  0
 0  0      0 12995336   1348 657200    0    0     0   136  244  356  0  0 99  0  0  0
 0  0      0 12995336   1348 657196    0    0     0     0 1105 2231  0  0 99  0  0  0
 0  0      0 12995084   1348 657196    0    0     0     0  174  293  0  0 100  0  0  0
 0  0      0 12994580   1348 657200    0    0     0     0 1160 2290  0  0 99  0  0  0
 0  0      0 12994832   1348 657192    0    0     0     0  187  321  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12994328   1356 657184    0    0     0    48 1159 2243  0  1 98  1  0  0
 0  0      0 12994076   1356 657180    0    0     0     0  183  284  0  0 100  0  0  0
 0  0      0 12994328   1356 657196    0    0     0     0 1057 2240  0  0 99  0  0  0
 0  0      0 12994076   1356 657196    0    0     0     0  325  440  0  0 100  0  0  0
 0  0      0 12995436   1356 657196    0    0     0     4 1121 2286  0  1 99  0  0  0
 0  0      0 12995436   1364 657200    0    0     0    28  227  318  0  0 98  2  0  0
 1  0      0 12995436   1364 657200    0    0     0     0  520 1003  0  0 100  0  0  0
 0  0      0 12995188   1364 657200    0    0     0     0  772 1542  0  0 100  0  0  0
 0  0      0 12995188   1364 657204    0    0     0     0  197  325  0  0 100  0  0  0
 0  0      0 12995440   1364 657196    0    0     0    88 1226 2270  0  1 99  0  0  0
 0  0      0 12995440   1372 657192    0    0     0    48  208  328  0  0 100  0  0  0
 0  0      0 12995440   1372 657200    0    0     0     0 1427 2371  0  1 99  0  0  0
 0  0      0 12995440   1372 657204    0    0     0     0  217  330  0  0 100  0  0  0
 0  0      0 12995188   1372 657204    0    0     0     0 1436 2405  0  1 99  0  0  0
 0  0      0 12995440   1372 657208    0    0     8     8  434  642  0  0 100  0  0  0
 0  0      0 12994684   1380 657196    0    0     0    56 1389 2301  0  1 99  0  0  0
 0  0      0 12994684   1380 657196    0    0     0     0  210  313  0  0 100  0  0  0
 0  0      0 12994432   1380 657200    0    0     0     0 1377 2298  0  1 99  0  0  0
 0  0      0 12994432   1380 657204    0    0     0     0  311  418  0  0 100  0  0  0
 0  0      0 12994936   1380 657204    0    0     0   132 1373 2303  0  0 99  0  0  0
 0  0      0 12994936   1388 657200    0    0     0    48  211  307  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 12994432   1388 657208    0    0     0     0 1386 2322  0  1 99  0  0  0
 0  0      0 12994684   1388 657208    0    0     0     0  192  288  0  0 100  0  0  0
 0  0      0 12994180   1388 657208    0    0     0     0 1360 2315  0  1 99  0  0  0
 0  0      0 12994432   1388 657204    0    0     0    92  156  251  0  0 100  0  0  0
 0  0      0 12993928   1396 657196    0    0     0    40 1417 2287  0  1 99  1  0  0
 0  0      0 12993928   1396 657200    0    0     0     0  265  367  0  0 100  0  0  0
 0  0      0 12993424   1396 657200    0    0     0     0 1384 2307  0  1 99  0  0  0
 0  0      0 12993676   1396 657204    0    0     0     0  243  350  0  0 100  0  0  0
 0  0      0 12993424   1396 657208    0    0     0     0 1386 2341  0  1 99  0  0  0
 0  0      0 12993928   1404 657196    0    0     0    36  259  344  0  0 99  1  0  0
 0  0      0 12993684   1404 657200    0    0     0     0 1352 2303  0  0 99  0  0  0
 0  0      0 12993928   1404 657196    0    0     0     0  189  299  0  0 100  0  0  0
 0  0      0 12993424   1404 657196    0    0     0     0 1523 2506  0  1 99  0  0  0
 0  0      0 12994368   1404 657200    0    0     0     8  238  336  0  0 100  0  0  0
 1  0      0 12993864   1412 657200    0    0     0    40  452  749  0  0 99  0  0  0
 0  0      0 12993864   1412 657188    0    0     0     0 1209 2024  0  0 100  0  0  0
 0  0      0 12993864   1412 657188    0    0     0     0  229  364  0  0 100  0  0  0
 0  0      0 12993864   1412 657204    0    0     0     0 1368 2337  0  1 99  0  0  0
 0  0      0 12993864   1412 657204    0    0     0     0  251  377  0  0 100  0  0  0
 0  0      0 12993360   1420 657176    0    0     0    64 1195 2351  0  0 98  2  0  0
 0  0      0 12993360   1420 657208    0    0     8     0  326  439  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12993360   1420 657240    0    0     8     0 1302 2494  0  1 99  0  0  0
 0  0      0 12993104   1420 657240    0    0     0     0  310  406  0  0 100  0  0  0
 0  0      0 12993360   1420 657236    0    0     0    68 1248 2360  0  1 99  0  0  0
 0  0      0 12993360   1428 657236    0    0     0    80  330  362  0  0 98  2  0  0
 0  0      0 12993360   1428 657240    0    0     0     0 1426 2357  0  1 99  0  0  0
 0  0      0 12993360   1428 657240    0    0     0     0  328  420  0  0 100  0  0  0
 0  0      0 12994116   1428 657244    0    0     0     4 1496 2483  0  0 99  0  0  0
 0  0      0 12994116   1428 657244    0    0     0     0  320  389  0  0 100  0  0  0
 0  0      0 12993864   1436 657252    0    0     8    72 1656 2541  0  1 98  1  0  0
 0  0      0 12994116   1436 657264    0    0     0     0  525  473  0  0 100  0  0  0
 0  0      0 12992352   1436 657264    0    0     0     0 1695 2487  0  1 99  0  0  0
 0  0      0 12992604   1436 657268    0    0     0     0  580  597  0  0 100  0  0  0
 0  0      0 12992904   1436 657268    0    0     0     0 1600 2458  0  1 99  0  0  0
 0  0      0 12993108   1444 657280    0    0     0    28  348  425  0  0 99  1  0  0
 0  0      0 12991344   1444 657292    0    0     0     0 1619 2444  0  1 99  0  0  0
 0  0      0 12991848   1444 657276    0    0     0     0  530  514  0  0 100  0  0  0
 0  0      0 12991596   1444 657288    0    0     0     0 1680 2520  0  1 99  0  0  0
 0  0      0 12991848   1444 657292    0    0     0     0  505  491  0  0 100  0  0  0
 0  0      0 12991596   1452 657284    0    0     0    36 1723 2521  1  1 98  1  0  0
 0  0      0 12991596   1452 657284    0    0     0     0  530  512  0  0 100  0  0  0
 0  0      0 12991344   1452 657280    0    0     0     0 1701 2570  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 12991344   1452 657288    0    0     0     0  647  636  0  0 100  0  0  0
 1  0      0 12989532   1452 657288    0    0     0     0 1079 1384  0  1 99  0  0  0
 0  0      0 12990048   1460 657304    0    0     0    28 1410 1946  0  0 98  1  0  0
 0  0      0 12990048   1460 657312    0    0     0     0  517  513  0  0 100  0  0  0
 0  0      0 12990048   1460 657320    0    0     0     0 1711 2580  0  0 99  0  0  0
 0  0      0 12990048   1464 657324    0    0     8     0  634  688  0  0 99  0  0  0
 0  0      0 12990048   1464 657320    0    0     0     0 1619 2548  0  1 99  0  0  0
 0  0      0 12990048   1472 657312    0    0     0    56  491  566  0  0 99  1  0  0
 0  0      0 12989796   1472 657304    0    0     0     0 1264 2396  0  1 99  0  0  0
 0  0      0 12989796   1472 657308    0    0     0    68  548  604  0  0 100  0  0  0
 0  0      0 12990048   1472 657296    0    0     0     0 1156 2453  0  1 99  0  0  0
 0  0      0 12990048   1472 657296    0    0     0     0  674  680  0  0 100  0  0  0
 0  0      0 12989804   1480 657288    0    0     0   168 1599 2657  0  1 99  0  0  0
 0  0      0 12990048   1480 657280    0    0     0     0  564  547  0  0 100  0  0  0
 0  0      0 12990552   1480 657280    0    0     0     0 1851 2587  0  1 99  0  0  0
 0  0      0 12990300   1480 657292    0    0     0     0  677  700  0  0 100  0  0  0
 0  0      0 12990812   1480 657300    0    0     0     0 1756 2580  0  1 99  0  0  0
 1  0      0 12990804   1488 657300    0    0     0    92  668  665  0  0 99  1  0  0
 0  0      0 12990552   1488 657296    0    0     0     0 1811 2608  0  1 99  0  0  0
 0  0      0 12990552   1488 657292    0    0     0     0  658  611  0  0 100  0  0  0
 0  0      0 12990048   1488 657276    0    0     0     0 1756 2572  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12990300   1488 657272    0    0     0     0  688  629  0  0 100  0  0  0
 0  0      0 12989796   1496 657264    0    0     0    56 1819 2600  0  1 98  1  0  0
 0  0      0 12990048   1496 657268    0    0     0     0  519  542  0  0 100  0  0  0
 0  0      0 12989796   1496 657268    0    0     0     0 1526 2540  0  1 99  0  0  0
 0  0      0 12989796   1496 657276    0    0     0     0  524  535  0  0 100  0  0  0
 0  0      0 12989292   1496 657276    0    0     0     0 1596 2611  0  1 99  0  0  0
 0  0      0 12989544   1504 657268    0    0     0    36  620  647  0  0 99  1  0  0
 0  0      0 12989040   1504 657264    0    0     0     0 1530 2572  1  0 99  0  0  0
 0  0      0 12989544   1504 657264    0    0     0     0  785  827  0  0 100  0  0  0
 1  0      0 12990300   1504 657268    0    0     0     0 1222 1981  0  1 99  0  0  0
 0  0      0 12990240   1504 657268    0    0     0     0  906 1149  0  0 99  0  0  0
 0  0      0 12990240   1512 657268    0    0     0    44  573  569  0  0 99  1  0  0
 0  0      0 12989484   1512 657260    0    0     0     0 1544 2520  0  1 99  0  0  0
 0  0      0 12989484   1512 657260    0    0     0    68  518  554  0  0 99  0  0  0
 0  0      0 12988992   1512 657256    0    0     0     0 1548 2440  0  0 99  0  0  0
 0  0      0 12988488   1648 657668    0    0   556    24  810  981  0  0 99  1  0  0
 0  0      0 12987732   1656 657744    0    0    28    64 2295 3722  0  1 98  1  0  0
 0  0      0 12987732   1656 657744    0    0     0    12  720  653  0  0 100  0  0  0
 0  0      0 12986220   1656 657744    0    0     0     0 1263 2334  0  1 99  0  0  0
 0  0      0 12986220   1656 657744    0    0     0     0  380  425  0  0 100  0  0  0
 0  0      0 12985968   1656 657768    0    0    24     0 1322 2442  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12985968   1664 657772    0    0     4    48  573  589  0  0 98  2  0  0
 0  0      0 12986220   1664 657776    0    0     0     0 1827 2605  0  1 99  0  0  0
 0  0      0 12984960   1800 657860    0    0   168     0 1463 1971  0  0 99  1  0  0
 0  0      0 12985972   1816 657856    0    0    16     0 1580 2554  1  1 98  0  0  0
 0  0      0 12985972   1816 657856    0    0     0     0  370  472  0  0 100  0  0  0
 0  0      0 12984964   1824 657844    0    0     0    64 1474 2392  0  1 98  1  0  0
 0  0      0 12985720   1824 657876    0    0    24    84  530  635  0  0 100  0  0  0
 0  0      0 12985216   1824 657884    0    0     0     0 1461 2444  0  0 99  0  0  0
 1  0      0 12985468   1824 657884    0    0     0     0  304  412  0  0 100  0  0  0
 0  0      0 12984460   1824 657880    0    0     0     0 1442 2399  0  1 99  0  0  0
 0  0      0 12984460   1832 657880    0    0     8    36  447  601  0  0 98  1  0  0
 0  0      0 12984460   1832 657892    0    0     0     8 1523 2499  0  1 99  0  0  0
 0  0      0 12984460   1832 657896    0    0     0     4  303  381  0  0 100  0  0  0
 0  0      0 12983956   1832 657892    0    0     0     0 1449 2388  0  1 99  0  0  0
 6  0      0 12985792   1832 657912    0    0    92     0  530  801  0  0 99  1  0  0
 0  0      0 12808160   2644 790072    0    0 133212   120 7766 10754 13  3 82  3  0  0
 1  0      0 12797280   3668 807208    0    0 17636    68 4543 6962 15  2 82  1  0  0
 1  0      0 12837504   3668 807276    0    0     8     0 1960 2860  2  1 97  0  0  0
 0  0      0 12836256   3668 807304    0    0     0     0  739 1114  0  0 99  0  0  0
 0  0      0 12838924   3668 807304    0    0     0     0  249  344  0  0 100  0  0  0
 0  0      0 12838672   3676 807312    0    0    24   136 1535 2497  0  1 97  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12838672   3676 807320    0    0     0     0  198  301  0  0 100  0  0  0
 0  0      0 12838420   3676 807324    0    0     0     0 1374 2334  0  1 99  0  0  0
 0  0      0 12838420   3676 807328    0    0     0     0  230  364  0  0 100  0  0  0
 0  0      0 12835144   3676 807376    0    0    56     0 2569 3845  1  1 98  0  0  0
 0  0      0 12834968   3684 807396    0    0     0    52  321  347  0  0 99  1  0  0
 0  0      0 12834716   3684 807392    0    0     0     0 1383 2378  0  0 99  0  0  0
 0  0      0 12834716   3684 807396    0    0     0   368  224  328  0  0 100  0  0  0
 0  0      0 12834716   3688 807400    0    0     4     4 1426 2438  0  0 99  0  0  0
 0  0      0 12835724   3688 807404    0    0    24     0  358  480  0  0 99  0  0  0
 0  0      0 12835472   3696 807424    0    0     0    64 1388 2327  0  1 98  1  0  0
 0  0      0 12835472   3696 807432    0    0     0     0  220  313  0  0 100  0  0  0
 0  0      0 12834464   3696 807448    0    0     0     8 1401 2338  0  1 99  0  0  0
 0  0      0 12834464   3696 807452    0    0     0     0  298  412  0  0 100  0  0  0
 0  0      0 12834220   3696 807456    0    0    28     4 1520 2497  0  1 99  0  0  0
 0  0      0 12834464   3704 807472    0    0     0    64  267  372  0  0 99  1  0  0
 0  0      0 12834212   3704 807476    0    0     0     0 1447 2426  0  0 99  0  0  0
 0  0      0 12833960   3720 807460    0    0     0   232  233  325  0  0 99  1  0  0
 1  0      0 12833456   3720 807472    0    0     0     0 1340 2297  0  0 99  0  0  0
 0  0      0 12833456   3720 807472    0    0     0     0  246  362  0  0 100  0  0  0
 0  0      0 12833708   3720 807468    0    0     0     0 1377 2325  0  1 99  0  0  0
 0  0      0 12833456   3720 807464    0    0     0     4  266  365  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 12833456   3728 807456    0    0     0   244 1388 2323  0  0 98  1  0  0
 0  0      0 12833960   3728 807460    0    0     0     0  224  319  0  0 100  0  0  0
 0  0      0 12833716   3728 807464    0    0     0     0 1308 2427  0  0 99  0  0  0
 0  0      0 12834212   3728 807476    0    0     8     0  333  445  0  0 100  0  0  0
 1  1      0 12834212   3728 807484    0    0     4     0  909 1697  0  0 99  0  0  0
 0  0      0 12832704   3728 807512    0    0     8    96  859 1390  0  0 99  0  0  0
 0  2      0 12998260    632 646136    0    0  1644    96 1396 1634  0  1 97  1  0  0
 0  0      0 12998264    632 647492    0    0  1332     0 1324 2302  1  1 98  1  0  0
 0  0      0 12998264    632 647492    0    0     0     0  212  323  0  0 100  0  0  0
 0  0      0 12997760    632 647492    0    0   284    52 1526 2469  0  1 99  0  0  0
 0  0      0 12997508    632 647768    0    0     0     0  244  383  0  0 100  0  0  0
 0  0      0 12995492    640 647776    0    0     0    48 1435 2382  0  1 98  1  0  0
 0  0      0 12995492    640 647780    0    0     0     0  241  341  0  0 100  0  0  0
 0  0      0 12994988    640 647780    0    0     0     0 1366 2292  0  0 99  0  0  0
 0  0      0 12994988    640 647768    0    0     0     0  215  326  0  0 100  0  0  0
 0  0      0 12995240    640 647784    0    0     0     8 1356 2291  0  1 99  0  0  0
 0  0      0 12994764    648 647784    0    0     0    52  238  350  0  0 99  1  0  0
 0  0      0 12994512    648 647784    0    0     0     0 1432 2359  0  1 99  0  0  0
 0  0      0 12994764    664 647840    0    0    20     4  359  504  0  0 99  1  0  0
 0  0      0 12994764    664 647844    0    0     0     0 1389 2313  0  1 99  0  0  0
 0  0      0 12994764    664 647844    0    0     0   156  294  407  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 12986256   1096 654912    0    0  7488    84 3139 4216  1  1 96  2  0  0
 0  0      0 12986256   1096 654912    0    0     0     0  253  336  0  0 100  0  0  0
 0  0      0 12986256   1096 654912    0    0    56    72 1191 2422  0  1 99  0  0  0
 0  0      0 12985752   1096 654968    0    0     0     0  234  336  0  0 100  0  0  0
 0  0      0 12985248   1096 654996    0    0     0     0 1309 2458  0  0 99  0  0  0
 0  0      0 12985248   1104 654988    0    0     0    72  376  450  0  0 98  1  0  0
 0  0      0 12984996   1104 654996    0    0     0     0 1296 2393  0  1 99  0  0  0
 0  0      0 12985500   1104 655004    0    0     0     0  321  392  0  0 100  0  0  0
 0  0      0 12983736   1104 655004    0    0     0     0 1457 2444  0  1 99  0  0  0
 1  0      0 12983988   1104 655016    0    0     0     0  342  413  0  0 100  0  0  0
 0  0      0 12983516   1112 655020    0    0     0   128 1527 2466  0  1 98  1  0  0
 0  0      0 12983736   1112 655020    0    0     0     0  442  480  0  0 100  0  0  0
 1  0      0 12983736   1112 655020    0    0     0     0  692  988  0  0 100  0  0  0
 0  0      0 12984492   1112 655004    0    0     0     0 1273 1974  0  0 100  0  0  0
 0  0      0 12984492   1112 655004    0    0     0     0  442  456  0  0 100  0  0  0
 0  0      0 12984492   1120 655004    0    0     0    64 1599 2534  0  1 98  1  0  0
 0  0      0 12985456   1120 655004    0    0     0     0  432  520  0  0 99  0  0  0
 0  0      0 12985204   1120 655012    0    0     0     0 1499 2428  0  1 99  0  0  0
 0  0      0 12985204   1120 655012    0    0     0     0  347  465  0  0 100  0  0  0
 0  0      0 12985204   1120 655016    0    0     0     0 1492 2441  0  1 99  0  0  0
 0  0      0 12985204   1128 655008    0    0     0    32  474  587  0  0 99  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12984700   1128 655020    0    0     0     0 1632 2539  0  1 99  0  0  0
 0  0      0 12984700   1128 655020    0    0     0     0  404  459  0  0 100  0  0  0
 0  0      0 12984448   1128 655016    0    0     0     0 1566 2468  0  1 99  0  0  0
 0  0      0 12984448   1128 655008    0    0     0     0  421  442  0  0 100  0  0  0
 0  0      0 12984196   1136 655020    0    0     0    44 1645 2512  0  1 98  1  0  0
 0  0      0 12984196   1136 655020    0    0    16    68  333  432  0  0 99  1  0  0
 0  0      0 12983944   1136 655028    0    0     0     0 1854 2918  0  1 99  0  0  0
 0  0      0 12983944   1136 655032    0    0     0     0  540  631  0  0 100  0  0  0
 0  0      0 12983440   1136 655036    0    0     0     0 1800 2799  0  1 99  0  0  0
 0  0      0 12983972   1144 655028    0    0     0   184  521  685  0  0 99  1  0  0
 0  0      0 12983216   1144 655040    0    0     0     0 1436 2557  0  0 99  0  0  0
 0  0      0 12983468   1144 655040    0    0     0     0  373  524  0  0 100  0  0  0
 0  0      0 12982964   1144 655040    0    0     0     0 1706 2649  0  1 99  0  0  0
 0  0      0 12983216   1144 655036    0    0     0     0  663  849  0  0 100  0  0  0
 0  0      0 12983232   1152 655040    0    0     0    72 1839 3047  1  1 98  1  0  0
 0  0      0 12983468   1152 655048    0    0     0     0  613  869  0  0 100  0  0  0
 0  0      0 12983216   1152 655048    0    0     0     0 1536 2799  0  1 99  0  0  0
 0  0      0 12983720   1156 655044    0    0     4     0  692  995  0  0 99  1  0  0
 1  0      0 12983720   1156 655048    0    0     0     0 1452 2519  0  1 99  0  0  0
 0  0      0 12941772   1984 661940    0    0  7976   320 1948 2507  5  1 92  3  0  0
 0  0      0 12929104   4520 672704    0    0 13212     0 2606 2406  0  1 96  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12927592   4520 672932    0    0     0     0 1420 2479  0  1 99  0  0  0
 0  0      0 12927592   4520 672928    0    0     0     0  331  452  0  0 100  0  0  0
 0  0      0 12930872   4520 672928    0    0     0     0 1337 2415  0  1 99  0  0  0
 0  0      0 12931880   4528 672928    0    0     0    72  420  520  0  0 99  0  0  0
 0  0      0 12930804   4528 672932    0    0     0     0 1033 2303  0  1 99  0  0  0
 0  0      0 12930804   4528 672932    0    0     0    68  341  439  0  0 99  0  0  0
 0  0      0 12930804   4528 672932    0    0     0     0 1223 2317  0  1 99  0  0  0
 0  0      0 12930804   4528 672932    0    0     0     0  341  449  0  0 100  0  0  0
 0  0      0 12930048   4536 672924    0    0     0    32 1330 2401  0  1 98  1  0  0
 0  0      0 12930300   4536 672936    0    0     0     0  392  440  0  0 100  0  0  0
 0  0      0 12929796   4536 672932    0    0     0     0 1554 2484  0  1 99  0  0  0
 1  0      0 12929796   4536 672932    0    0     0     0  337  420  0  0 100  0  0  0
 0  0      0 12929544   4536 672932    0    0     0     0 1529 2407  0  1 99  0  0  0
 0  0      0 12929292   4544 672932    0    0     0    36  343  417  0  0 99  1  0  0
 0  0      0 12927780   4544 672932    0    0     0     0 1558 2406  0  1 99  0  0  0
 0  0      0 12927528   4544 672932    0    0     0     0  388  485  0  0 100  0  0  0
 0  0      0 12927024   4544 672936    0    0     0     0 1042 2275  0  1 99  0  0  0
 0  0      0 12897164   4552 672932    0    0    12    12  869 1356  2  1 97  0  0  0
 0  0      0 12893680   4560 673248    0    0   316    92 2091 3551  1  1 97  1  0  0
 0  0      0 12892656   4560 673264    0    0     0    40  875 1247  0  0 99  0  0  0
 0  0      0 12892404   4560 673248    0    0     0     0 1541 2389  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12892416   4560 673260    0    0     0     0  600  732  0  0 100  0  0  0
 0  0      0 12893184   4560 673292    0    0     0     0 1482 2496  0  1 99  0  0  0
 0  0      0 12893688   4568 673296    0    0     0    60  982 1196  0  0 98  1  0  0
 0  0      0 12892696   4568 673296    0    0     0     0 1788 2912  0  1 99  0  0  0
 0  0      0 12892936   4568 673292    0    0     0     0  410  456  0  0 100  0  0  0
 0  0      0 12892936   4568 673292    0    0     0     0 1466 2400  0  1 99  0  0  0
 0  0      0 12893188   4568 673292    0    0     0     0  384  415  0  0 100  0  0  0
 1  0      0 12893188   4576 673284    0    0     0   104  351  471  0  0 97  2  0  0
 0  0      0 12892936   4588 673264    0    0    12    92 1506 2376  0  1 99  0  0  0
 0  0      0 12892936   4588 673280    0    0     0     0  312  414  0  0 100  0  0  0
 0  0      0 12892684   4588 673284    0    0     0     0 1310 2246  0  0 99  0  0  0
 0  0      0 12892684   4588 673284    0    0     0     0  193  324  0  0 100  0  0  0
 0  0      0 12893716   4596 673284    0    0     0    80 1393 2320  0  1 98  2  0  0
 0  0      0 12898372   4596 673284    0    0     0   116  243  353  0  0 99  0  0  0
 0  0      0 12898372   4596 673284    0    0     0     0 1538 2570  0  1 99  0  0  0
 0  0      0 12898372   4596 673284    0    0     0     0  345  434  0  0 100  0  0  0
 0  0      0 12897868   4596 673288    0    0     0     0 1385 2639  0  1 99  0  0  0
 0  0      0 12897868   4604 673284    0    0     0    44  430  505  0  0 99  0  0  0
 0  0      0 12897364   4604 673284    0    0     0     0 1484 2344  0  1 99  0  0  0
 0  0      0 12897616   4604 673296    0    0     0     0  413  462  0  0 100  0  0  0
 0  0      0 12901276   4732 673384    0    0   160     0 2508 3940  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 12901312   4744 673384    0    0    12     0  443  571  0  0 99  1  0  0
 0  0      0 12900304   4752 673552    0    0   244    72 1908 3012  0  1 97  2  0  0
 0  0      0 12896524   4752 673632    0    0     0     0 1009 1234  0  0 99  0  0  0
 0  0      0 12895264   4752 673632    0    0     0     0 2130 3152  0  1 99  0  0  0
 0  0      0 12894256   4752 673628    0    0     0     0  530  683  0  0 100  0  0  0
